UI_Group,UI_Target,accuracy,precision,recall,macro_f1,Best_Params
Desktop_UI,desktop_grid_pref,0.375,0.32,0.31007326007326,0.30715617715617716,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Desktop_UI,desktop_info_density,0.725,0.24786324786324787,0.3333333333333333,0.28431372549019607,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_image_text_ratio,0.5,0.32,0.34722222222222215,0.3319308087891538,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_whitespace,0.525,0.30465949820788535,0.327536231884058,0.3055555555555555,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Desktop_UI,desktop_navigation,0.375,0.3538961038961039,0.3652777777777778,0.35667420814479633,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Desktop_UI,desktop_search_visibility,0.45,0.31559290382819793,0.36274509803921573,0.33705475810738966,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Desktop_UI,desktop_category_display,0.4,0.3756720430107527,0.29673202614379085,0.2869734432234432,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_product_card,0.3,0.2715508021390375,0.2627272727272727,0.26169278996865203,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_price_display,0.225,0.18210526315789471,0.1938888888888889,0.17767096787060488,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Desktop_UI,desktop_filter_location,0.3,0.5210526315789473,0.2708333333333333,0.2957393483709273,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Desktop_UI,desktop_persistent_filters,0.75,0.375,0.5,0.42857142857142855,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
Desktop_UI,desktop_quick_view,0.425,0.27142857142857146,0.26433873144399456,0.24841269841269842,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Desktop_UI,desktop_review_display,0.35,0.18932748538011696,0.23333333333333334,0.20900178253119428,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Mobile_UI,mobile_grid_pref,0.45,0.28431372549019607,0.27401837928153716,0.24261006289308176,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Mobile_UI,mobile_info_density,0.675,0.39814814814814814,0.38271604938271603,0.3671143671143671,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}"
Mobile_UI,mobile_image_text_ratio,0.8,0.2735042735042735,0.32323232323232326,0.2962962962962963,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
