UI_Group,UI_Target,Predictor,Mean_ABS_SHAP,SHAP_Rank
Desktop_UI,desktop_info_density,Agreeableness,0.01859049074226465,6
Desktop_UI,desktop_info_density,Openness,0.01713144618248252,7
Desktop_UI,desktop_info_density,primary_persona,0.0069922501848920056,8
Desktop_UI,desktop_image_text_ratio,Neuroticism,0.03501225697927684,1
Desktop_UI,desktop_image_text_ratio,Openness,0.031780544900384324,2
Desktop_UI,desktop_image_text_ratio,Agreeableness,0.02815254793325148,3
Desktop_UI,desktop_image_text_ratio,Conscientiousness,0.02621331103371532,4
Desktop_UI,desktop_image_text_ratio,primary_device,0.02489657902976259,5
Desktop_UI,desktop_image_text_ratio,Extraversion,0.02417778824467964,6
Desktop_UI,desktop_image_text_ratio,current_mood,0.023634296925270446,7
Desktop_UI,desktop_image_text_ratio,primary_persona,0.01757365672623305,8
Desktop_UI,desktop_whitespace,primary_device,0.04497102499333076,1
Desktop_UI,desktop_whitespace,Openness,0.033836733418531294,2
Desktop_UI,desktop_whitespace,Agreeableness,0.029860044268281382,3
Desktop_UI,desktop_whitespace,Neuroticism,0.022805923428111073,4
Desktop_UI,desktop_whitespace,primary_persona,0.017788859057238433,5
Desktop_UI,desktop_whitespace,Extraversion,0.016560774323671847,6
Desktop_UI,desktop_whitespace,current_mood,0.013056830142236494,7
Desktop_UI,desktop_whitespace,Conscientiousness,0.00792463776556984,8
Desktop_UI,desktop_navigation,Agreeableness,0.035214559008019265,1
Desktop_UI,desktop_navigation,primary_device,0.033565904278516044,2
Desktop_UI,desktop_navigation,Neuroticism,0.03304048980274495,3
Desktop_UI,desktop_navigation,primary_persona,0.02419460832291444,4
Desktop_UI,desktop_navigation,Extraversion,0.024099134833003515,5
Desktop_UI,desktop_navigation,current_mood,0.022254190516358352,6
Desktop_UI,desktop_navigation,Conscientiousness,0.02152376672970915,7
Desktop_UI,desktop_navigation,Openness,0.017478431981216715,8
Desktop_UI,desktop_search_visibility,Extraversion,0.04953568965636855,1
Desktop_UI,desktop_search_visibility,primary_persona,0.03536699036238426,2
Desktop_UI,desktop_search_visibility,Agreeableness,0.025366803674127768,3
Desktop_UI,desktop_search_visibility,current_mood,0.024158711909366366,4
Desktop_UI,desktop_search_visibility,Openness,0.022427823637394206,5
Desktop_UI,desktop_search_visibility,primary_device,0.018708035053440087,6
Desktop_UI,desktop_search_visibility,Neuroticism,0.01593724931963113,7
Desktop_UI,desktop_search_visibility,Conscientiousness,0.012368792122231659,8
Desktop_UI,desktop_category_display,Agreeableness,0.0363836631085862,1
Desktop_UI,desktop_category_display,primary_persona,0.03296169788546498,2
Desktop_UI,desktop_category_display,current_mood,0.02462066785403161,3
Desktop_UI,desktop_category_display,Conscientiousness,0.02160650868327472,4
Desktop_UI,desktop_category_display,Openness,0.02157388106402518,5
Desktop_UI,desktop_category_display,Neuroticism,0.02136455249262553,6
Desktop_UI,desktop_category_display,primary_device,0.020502352819074247,7
Desktop_UI,desktop_category_display,Extraversion,0.010504850275295793,8
Desktop_UI,desktop_product_card,Neuroticism,0.028151284518293324,1
Desktop_UI,desktop_product_card,Openness,0.024579095203162985,2
Desktop_UI,desktop_product_card,Agreeableness,0.024234074112186862,3
Desktop_UI,desktop_product_card,current_mood,0.022554200624406273,4
Desktop_UI,desktop_product_card,primary_device,0.02215251753961981,5
Desktop_UI,desktop_product_card,Extraversion,0.021221066022244776,6
Desktop_UI,desktop_product_card,Conscientiousness,0.021108915079484567,7
Desktop_UI,desktop_product_card,primary_persona,0.014199003894639817,8
Desktop_UI,desktop_price_display,Conscientiousness,0.04011943385433388,1
Desktop_UI,desktop_price_display,Openness,0.03506929485386261,2
Desktop_UI,desktop_price_display,primary_device,0.028782805907063978,3
Desktop_UI,desktop_price_display,Extraversion,0.0259937963871568,4
Desktop_UI,desktop_price_display,current_mood,0.023440549666074128,5
Desktop_UI,desktop_price_display,Neuroticism,0.02211034643201304,6
Desktop_UI,desktop_price_display,primary_persona,0.021326018401443506,7
Desktop_UI,desktop_price_display,Agreeableness,0.00700526306994439,8
Desktop_UI,desktop_filter_location,Extraversion,0.046727344540163564,1
Desktop_UI,desktop_filter_location,current_mood,0.0424740010189062,2
Desktop_UI,desktop_filter_location,Openness,0.027702960513206924,3
Desktop_UI,desktop_filter_location,Agreeableness,0.025644520657221226,4
Desktop_UI,desktop_filter_location,primary_device,0.023373937031583372,5
Desktop_UI,desktop_filter_location,Conscientiousness,0.021435933675146616,6
Desktop_UI,desktop_filter_location,Neuroticism,0.020173468333170384,7
Desktop_UI,desktop_filter_location,primary_persona,0.010038873347983042,8
Desktop_UI,desktop_persistent_filters,Openness,0.03601509161981057,1
Desktop_UI,desktop_persistent_filters,primary_persona,0.03564228360118042,2
Desktop_UI,desktop_persistent_filters,Extraversion,0.02969588994702118,3
Desktop_UI,desktop_persistent_filters,current_mood,0.026983760036532505,4
Desktop_UI,desktop_persistent_filters,Conscientiousness,0.023796636163250742,5
Desktop_UI,desktop_persistent_filters,Neuroticism,0.02074177957487449,6
Desktop_UI,desktop_persistent_filters,primary_device,0.019516737908553784,7
Desktop_UI,desktop_persistent_filters,Agreeableness,0.014413310290885443,8
Desktop_UI,desktop_quick_view,Extraversion,0.028538967117687237,1
Desktop_UI,desktop_quick_view,current_mood,0.027725670482237695,2
Desktop_UI,desktop_quick_view,primary_device,0.02350840205330111,3
Desktop_UI,desktop_quick_view,Agreeableness,0.01875711928841122,4
Desktop_UI,desktop_quick_view,Conscientiousness,0.01592076400888103,5
Desktop_UI,desktop_quick_view,Neuroticism,0.01520528067898069,6
Desktop_UI,desktop_quick_view,primary_persona,0.012289490940834143,7
Desktop_UI,desktop_quick_view,Openness,0.012002972034886164,8
Desktop_UI,desktop_review_display,Neuroticism,0.03666279100423075,1
Desktop_UI,desktop_review_display,current_mood,0.03048522645991747,2
Desktop_UI,desktop_review_display,Extraversion,0.029940501381104177,3
Desktop_UI,desktop_review_display,Openness,0.026491807305875636,4
Desktop_UI,desktop_review_display,primary_device,0.023291100455057025,5
Desktop_UI,desktop_review_display,Conscientiousness,0.022205595358319643,6
Desktop_UI,desktop_review_display,primary_persona,0.021830486013886652,7
Desktop_UI,desktop_review_display,Agreeableness,0.010839471116321737,8
Mobile_UI,mobile_grid_pref,primary_persona,0.03547752808433706,1
Mobile_UI,mobile_grid_pref,Extraversion,0.03089073291732538,2
Mobile_UI,mobile_grid_pref,Conscientiousness,0.027706775894053924,3
Mobile_UI,mobile_grid_pref,Openness,0.025985987830045167,4
Mobile_UI,mobile_grid_pref,primary_device,0.02536598485848606,5
Mobile_UI,mobile_grid_pref,current_mood,0.023708578106425907,6
Mobile_UI,mobile_grid_pref,Neuroticism,0.0224487808369249,7
Mobile_UI,mobile_grid_pref,Agreeableness,0.02060581932349284,8
Mobile_UI,mobile_info_density,primary_device,0.04135348618317817,1
Mobile_UI,mobile_info_density,Openness,0.025648858627284714,2
Mobile_UI,mobile_info_density,Extraversion,0.02146005803593381,3
Mobile_UI,mobile_info_density,current_mood,0.021420313401241085,4
Mobile_UI,mobile_info_density,Neuroticism,0.021331206225075536,5
Mobile_UI,mobile_info_density,Agreeableness,0.01906850582238503,6
Mobile_UI,mobile_info_density,primary_persona,0.01579937772687545,7
Mobile_UI,mobile_info_density,Conscientiousness,0.005568768753822653,8
Mobile_UI,mobile_image_text_ratio,Neuroticism,0.029465796956539787,1
Mobile_UI,mobile_image_text_ratio,Agreeableness,0.028926846472482833,2
Mobile_UI,mobile_image_text_ratio,current_mood,0.026293195763631542,3
Mobile_UI,mobile_image_text_ratio,primary_device,0.026170129441261975,4
